transaction_id,estate,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
113,city_one_shatin,1,2,H,24,327,5895000,18028,2021-05-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
114,city_one_shatin,1,2,C,25,327,5500000,16820,2022-03-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
115,city_one_shatin,1,2,D,25,327,5800000,17737,2022-04-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
116,city_one_shatin,1,2,E,25,451,6500000,14412,2019-03-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
117,city_one_shatin,1,2,H,26,327,4280000,13089,2025-10-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
118,city_one_shatin,1,2,H,27,327,6000000,18349,2019-10-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
119,city_one_shatin,2,15,B,1,819,9990000,12198,2022-01-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
120,city_one_shatin,2,15,C,3,853,9000000,10551,2026-05-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
121,city_one_shatin,2,15,D,3,853,9600000,11254,2023-10-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
122,city_one_shatin,2,15,B,4,819,11718000,14308,2020-09-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
123,city_one_shatin,2,15,D,6,853,10380000,12169,2023-02-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
124,city_one_shatin,2,15,A,7,819,8800000,10745,2025-11-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
125,city_one_shatin,2,15,D,12,853,8380000,9824,2025-03-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
126,city_one_shatin,2,15,C,14,853,10180000,11934,2019-01-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
127,city_one_shatin,2,15,A,15,819,11380000,13895,2021-04-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
128,city_one_shatin,2,15,C,15,853,12400000,14537,2020-09-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
129,city_one_shatin,2,15,A,17,819,10000000,12210,2021-05-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
130,city_one_shatin,2,15,D,17,853,11800000,13834,2021-04-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
131,city_one_shatin,2,15,C,18,853,9200000,10785,2025-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
132,city_one_shatin,2,15,D,18,853,11630000,13634,2020-12-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
133,city_one_shatin,2,15,B,19,819,8280000,10110,2024-09-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
134,city_one_shatin,2,15,D,20,853,12280000,14396,2018-10-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
135,city_one_shatin,2,15,A,21,819,8000000,9768,2025-12-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
136,city_one_shatin,2,15,D,21,853,10800000,12661,2023-08-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
137,city_one_shatin,2,15,A,22,819,9380000,11453,2025-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
