transaction_id,estate,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
168,city_one_shatin,16,10,327,40,2022-02-24,5960000,4764530
169,city_one_shatin,16,11,327,38,2020-06-03,5700000,4744213
170,city_one_shatin,16,11,327,39,2021-07-05,6110000,4766719
171,city_one_shatin,16,11,327,42,2024-07-22,4100000,4134266
172,city_one_shatin,16,12,451,38,2020-06-12,7300000,6075922
173,city_one_shatin,16,13,327,41,2023-02-23,5200000,4544860
174,city_one_shatin,16,13,451,40,2022-02-09,7150000,5715838
175,city_one_shatin,16,13,327,36,2018-04-23,5620000,5141933
176,city_one_shatin,16,14,327,39,2021-01-14,5500000,4504555
177,city_one_shatin,16,14,327,44,2026-02-13,4420000,4283474
178,city_one_shatin,16,14,451,43,2025-11-07,5800000,5802070
179,city_one_shatin,16,14,451,42,2024-12-03,6100000,6298741
180,city_one_shatin,16,15,327,43,2025-11-19,4468000,4469595
181,city_one_shatin,16,16,451,43,2025-03-24,4830000,5203340
182,city_one_shatin,16,17,451,43,2025-11-25,5500000,5501963
183,city_one_shatin,16,17,327,37,2019-11-21,6000000,4941831
184,city_one_shatin,16,17,327,38,2020-02-05,5850000,5002648
185,city_one_shatin,16,18,451,41,2023-01-12,6400000,5671077
186,city_one_shatin,16,19,327,42,2024-10-24,4250000,4250039
187,city_one_shatin,16,19,451,37,2019-05-22,3000000,2552064
188,city_one_shatin,16,19,327,43,2025-10-08,4480000,4635287
189,city_one_shatin,16,20,451,42,2024-06-25,5538000,5498962
190,city_one_shatin,16,20,327,37,2019-11-12,5280000,4348811
191,city_one_shatin,16,20,327,42,2024-01-24,4430000,4306031
192,city_one_shatin,16,20,451,40,2022-02-22,7200000,5755809
193,city_one_shatin,16,20,327,40,2022-11-28,5300000,4808983
194,city_one_shatin,16,21,451,37,2019-03-07,7200000,6319613
195,city_one_shatin,16,22,451,41,2023-09-04,6780000,6436254
196,city_one_shatin,16,22,327,42,2024-09-20,4250000,4467382
197,city_one_shatin,16,23,327,42,2024-06-28,4350000,4319337
198,city_one_shatin,16,24,327,39,2021-07-16,5950000,4641895
199,city_one_shatin,16,24,327,41,2023-07-28,5200000,4500063
200,city_one_shatin,16,25,451,36,2018-05-15,7680000,6817229
201,city_one_shatin,16,25,327,41,2023-11-17,4800000,4693347
202,city_one_shatin,16,25,451,39,2021-01-27,7370000,6036104
203,city_one_shatin,16,25,327,43,2025-03-25,5300000,5709669
204,city_one_shatin,16,26,327,41,2023-03-15,5400000,4737922
205,city_one_shatin,16,26,327,38,2020-08-10,5860000,4842649
206,city_one_shatin,16,26,451,42,2024-03-25,5750000,5629540
207,city_one_shatin,16,26,327,38,2020-11-25,5700000,4642201
208,city_one_shatin,16,27,451,38,2020-09-24,7600000,6206527
209,city_one_shatin,16,27,327,37,2019-07-17,6000000,5108700
210,city_one_shatin,16,27,451,42,2024-07-24,6080000,6130814
211,city_one_shatin,16,28,327,43,2025-04-17,4180000,4473646
212,city_one_shatin,16,28,451,43,2025-08-08,6000000,6388288
213,city_one_shatin,16,28,327,37,2019-11-15,6360000,5238341
214,city_one_shatin,16,29,451,42,2024-12-03,5750000,5937338
215,city_one_shatin,16,29,327,36,2018-12-06,5268000,5144597
216,city_one_shatin,16,30,451,38,2020-11-20,7980000,6499082
217,city_one_shatin,16,30,451,40,2022-02-22,8180000,6539238
218,city_one_shatin,16,30,327,39,2021-06-28,5920000,4647581
219,city_one_shatin,16,30,327,38,2020-12-07,6010000,4965820
220,city_one_shatin,29,1,451,35,2018-06-05,2000000,1698600
221,city_one_shatin,29,1,451,41,2024-03-18,5000000,4895252
222,city_one_shatin,29,1,327,38,2021-07-20,5618000,4382885
223,city_one_shatin,29,2,451,40,2023-02-15,5968000,5216101
224,city_one_shatin,29,2,451,38,2021-10-08,6668000,5461528
225,city_one_shatin,29,2,327,42,2025-11-11,3980000,3981421
226,city_one_shatin,29,2,451,39,2022-08-01,6210000,5271204
227,city_one_shatin,29,2,327,39,2022-11-08,4750000,4309938
228,city_one_shatin,29,3,327,35,2018-01-12,4720000,4472694
229,city_one_shatin,29,4,451,36,2019-06-24,6800000,5989203
