transaction_id,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
81,1,2,G,18,327,6220000,19021,2021-10-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
82,1,2,E,16,451,7860000,17428,2021-07-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
83,1,2,F,16,451,7500000,16630,2020-04-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
84,1,2,G,16,327,5790000,17706,2020-11-06,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
85,1,2,B,15,451,6500000,14412,2018-02-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
86,1,2,E,15,451,7400000,16408,2021-04-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
87,1,2,H,15,327,5580000,17064,2020-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
88,1,2,A,14,451,5850000,12971,2026-05-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
89,1,2,C,14,327,5320000,16269,2019-04-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
90,1,2,D,13,327,4800000,14679,2019-05-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
91,1,2,F,13,451,7100000,15743,2018-02-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
92,1,2,G,13,327,5600000,17125,2021-02-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
93,1,2,B,12,451,6450000,14302,2023-03-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
94,1,2,C,11,327,4350000,13303,2026-01-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
95,1,2,B,10,451,6580000,14590,2021-02-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
96,1,2,C,10,327,5000000,15291,2020-05-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
97,1,2,E,10,451,6620000,14678,2019-02-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
98,1,2,H,10,327,4250000,12997,2024-03-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
99,1,2,D,9,327,3312000,10128,2024-01-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
100,1,2,G,9,327,3180000,9725,2026-05-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
101,1,2,H,9,327,3620000,11070,2021-06-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
102,1,2,G,8,327,4000000,12232,2025-11-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
103,1,2,H,8,327,3930000,12018,2024-04-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
104,1,2,C,7,327,5400000,16514,2021-01-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
105,1,2,D,7,327,5700000,17431,2021-03-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
106,1,2,E,6,451,6280000,13925,2023-01-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
107,1,2,C,5,327,3980000,12171,2023-11-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
108,1,2,D,5,327,4150000,12691,2024-07-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
109,1,2,G,5,327,5050000,15443,2026-07-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
110,1,2,C,4,327,3000000,9174,2024-10-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
111,1,2,A,3,451,5000000,11086,2024-12-05,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
112,1,2,D,3,327,5300000,16208,2019-09-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
113,1,2,H,3,327,5390000,16483,2020-06-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
114,1,2,B,2,451,6300000,13969,2021-01-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
115,1,2,C,2,327,3600000,11009,2025-03-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
116,1,2,F,2,451,6880000,15255,2021-07-06,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
117,1,2,B,1,451,3500000,7761,2026-01-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
118,1,2,E,1,451,5480000,12151,2023-03-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
119,2,15,D,27,853,13000000,15240,2022-04-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
120,2,15,A,23,819,11468000,14002,2022-05-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
121,2,15,A,22,819,9380000,11453,2025-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
122,2,15,D,22,853,3000000,3517,2020-01-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
123,2,15,A,21,819,8000000,9768,2025-12-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
124,2,15,D,21,853,10800000,12661,2023-08-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
125,2,15,D,20,853,12280000,14396,2018-10-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
126,2,15,B,19,819,8280000,10110,2024-09-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
127,2,15,C,18,853,9200000,10785,2025-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
128,2,15,D,18,853,11630000,13634,2020-12-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
129,2,15,A,17,819,10000000,12210,2021-05-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
130,2,15,D,17,853,11800000,13834,2021-04-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
131,2,15,A,15,819,11380000,13895,2021-04-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
132,2,15,C,15,853,12400000,14537,2020-09-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
133,2,15,C,14,853,10180000,11934,2019-01-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
134,2,15,D,12,853,8380000,9824,2025-03-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
135,2,15,A,7,819,8800000,10745,2025-11-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
136,2,15,D,6,853,10380000,12169,2023-02-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
137,2,15,B,4,819,11718000,14308,2020-09-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
138,2,15,C,3,853,9000000,10551,2026-05-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
139,2,15,D,3,853,9600000,11254,2023-10-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
140,2,15,B,1,819,9990000,12198,2022-01-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
141,2,16,A,30,451,7980000,17694,2020-11-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
