transaction_id,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
196,16,9,451,38,2020-05-22,7220000,5877801
197,16,9,327,38,2020-02-12,5510000,4711896
198,16,9,327,44,2026-01-21,4400000,4399839
199,16,8,451,36,2018-06-06,7360000,6250848
200,16,8,327,42,2024-10-23,4280000,4280039
201,16,8,327,44,2026-06-05,4680000,4479643
202,16,7,451,42,2024-09-27,5160000,5423927
203,16,7,451,44,2026-03-11,6000000,5707846
204,16,7,327,40,2022-10-21,4630000,4072922
205,16,6,451,41,2023-01-11,6050000,5360940
206,16,6,327,40,2022-06-08,5400000,4450095
207,16,6,451,38,2020-09-11,7000000,5716538
208,16,6,327,43,2025-12-11,4350000,4430124
209,16,6,327,38,2020-03-19,5650000,4729969
210,16,5,327,40,2022-01-21,5700000,4616782
211,16,4,451,39,2021-12-01,6500000,5272486
212,16,4,327,40,2022-06-08,5100000,4202868
213,16,4,451,39,2021-02-11,6080000,4914916
214,16,3,451,40,2022-09-28,6280000,5447630
215,16,3,451,39,2021-04-08,6000000,4793317
216,16,3,327,42,2024-09-13,3900000,4099480
217,16,2,327,38,2020-02-18,5200000,4446798
218,16,1,327,43,2025-07-15,4050000,4198967
219,16,1,451,44,2026-02-13,5380000,5213822
220,29,29,451,37,2020-06-03,8050000,6700161
221,29,29,327,35,2018-04-18,5700000,5215128
222,29,29,451,38,2021-06-18,7850000,6162755
223,29,29,327,37,2020-03-24,5750000,4813685
224,29,28,451,41,2024-09-09,5700000,5991547
225,29,28,327,39,2022-02-17,6280000,5020344
226,29,27,451,42,2025-11-04,6230000,6232224
227,29,27,327,36,2019-10-08,5580000,4876789
228,29,26,327,40,2023-03-03,5220000,4579991
229,29,25,451,37,2020-12-03,7550000,6238259
230,29,24,451,35,2018-05-28,7620000,6763969
231,29,24,451,39,2022-10-17,6700000,5893861
232,29,24,327,35,2018-08-09,5000000,4384818
233,29,23,451,37,2020-08-03,7100000,5867374
234,29,22,451,38,2021-09-06,7780000,6330161
235,29,22,327,36,2019-10-16,5300000,4632076
236,29,22,451,38,2021-05-28,7700000,6187920
237,29,20,451,39,2022-10-19,6430000,5656347
238,29,20,451,43,2026-03-06,4800000,4566276
239,29,19,327,38,2021-11-03,5210000,4209047
240,29,19,451,42,2025-04-08,5000000,5351251
241,29,19,327,36,2019-03-07,5550000,4871369
242,29,17,327,37,2020-07-13,5680000,4688441
243,29,16,327,39,2022-11-18,4980000,4518629
244,29,14,327,41,2024-02-02,4200000,4327069
245,29,13,327,40,2023-03-23,5380000,4720374
246,29,13,327,41,2024-09-17,3750000,3941807
247,29,13,327,41,2024-01-29,4200000,4082467
248,29,11,451,41,2024-04-12,6000000,5852444
249,29,11,327,38,2021-06-18,6080000,4773191
250,29,11,327,39,2022-12-01,5150000,4695368
251,29,10,451,39,2022-10-05,6680000,5876267
252,29,10,327,38,2021-04-07,5600000,4473763
253,29,9,451,35,2018-08-03,7820000,6857855
