PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
07-2004,30974,,23985,,25222,,38168,,28046,,26806,,52385,,40974,,33083,,61365,,69039,,40385,,89732,,54205,Z,30742,Z
08-2004,31658,,24898,,26703,,40681,,29849,,28241,,55824,,46790,,35094,,62324,,61484,,37427,,93012,,72419,Z,47197,
09-2004,33581,,25840,,27505,,43786,,35468,,29326,,60879,,48437,,37652,,63887,,70356,,44489,,101521,,62610,Z,52821,
10-2004,35114,,27245,,28620,,46766,,37975,,30489,,61993,,55707,,39228,,77171,,76898,,48155,,104086,,98480,Z,47595,
11-2004,34647,,26416,,27927,,43931,,35519,,29472,,63185,,50437,,37540,,74848,,68828,,45358,,118877,,78269,Z,43145,
12-2004,35652,,26485,,27560,,45415,,35715,,29372,,61242,,48400,,38754,,73354,,76020,,42863,,100033,,94371,Z,54250,
01-2005,37045,,27202,,28514,,47389,,36457,,30268,,64117,,52845,,38433,,77357,,67460,,47114,,101467,,82354,Z,51752,
02-2005,38486,,29024,,29461,,48276,,40266,,32406,,62202,,55889,,39691,,78003,,69440,,46902,,117761,,83341,Z,52005,
03-2005,38900,,30511,,31980,,51771,,43329,,32891,,67734,,65045,,41446,,83831,,76113,,49730,,103097,,76960,Z,49826,
04-2005,39826,,31053,,31364,,50275,,41465,,33155,,68398,,60970,,42155,,85374,,74682,,52999,,129535,,94248,Z,61180,
05-2005,39622,,31073,,31014,,50974,,39543,,34220,,68972,,55030,,43575,,85991,,70047,,49389,,130692,,79637,Z,67780,
06-2005,38906,,29418,,30559,,48338,,36050,,32303,,66566,,53217,,41745,,85537,,69603,,46907,,114575,,120309,Z,58914,
07-2005,39331,,29349,,29680,,47693,,38280,,33040,,67953,,56884,,42199,,81371,,71404,,53689,,120889,,69132,Z,55611,
08-2005,39992,,30365,,31054,,49893,,39116,,34348,,66456,,52959,,43031,,80122,,83979,,51960,,108273,,153266,Z,55938,
09-2005,39830,,31036,,30733,,48925,,39433,,32889,,69136,,56430,,43391,,85150,,73919,,51888,,113971,,125830,Z,64606,
10-2005,40632,,30661,,29452,,49372,,34611,,31580,,68951,,53211,,41841,,77582,,72013,,49110,,134657,,115723,Z,76565,Z
11-2005,37186,,28705,,27829,,45021,,31104,,30640,,61691,,46952,,40122,,83484,,69108,,49075,,99380,,92995,Z,48005,
